bathrooms,bedrooms,yearBuilt,propTax,livingArea,lot_size_sqf,schlRnk,hoa,garageSpaces,hasFireplace,basement,latitude,longitude
4.0,4.0,1989.0,0.87,2600.0,10000.0,7.0,0.0,2,1.0,1,40.54408645629883,-74.19220733642578
2.0,3.0,1915.0,0.87,1320.0,5476.0,4.0,0.0,1,0.0,1,40.61856842041016,-74.08639526367188
3.0,3.0,1965.0,0.87,2234.0,4000.0,8.0,0.0,1,0.0,1,40.6077766418457,-74.15087890625
2.0,5.0,1926.0,,1600.0,1742.4,,0.0,0,0.0,1,40.83049011230469,-73.86339569091797
3.0,4.0,1950.0,0.95,2385.0,2178.0,4.0,0.0,1,0.0,1,40.87589263916016,-73.84654235839844
2.0,3.0,1925.0,0.87,1128.0,4000.0,4.0,0.0,2,1.0,1,40.63169860839844,-74.10124969482422
4.0,5.0,1996.0,0.87,3240.0,9170.0,10.0,0.0,2,1.0,1,40.52494430541992,-74.1880111694336
2.0,3.0,1945.0,0.87,1260.0,5000.0,8.0,0.0,1,0.0,1,40.61631393432617,-74.09799194335938
1.0,3.0,1945.0,0.87,1360.0,3000.0,6.0,0.0,0,0.0,1,40.59662628173828,-74.06366729736328
3.0,3.0,2000.0,0.87,1200.0,2760.0,5.0,0.0,0,0.0,1,40.63581085205078,-74.15129852294922
3.0,3.0,1945.0,0.87,1295.0,4000.0,7.0,0.0,1,0.0,1,40.57392883300781,-74.10711669921875
3.0,3.0,1960.0,0.87,1020.0,1930.0,6.0,0.0,0,0.0,1,40.58670425415039,-74.09734344482422
3.0,3.0,1996.0,0.87,1300.0,2000.0,3.0,0.0,0,0.0,1,40.57324600219727,-74.09120178222656
2.0,3.0,1999.0,0.87,1218.0,2291.0,3.0,0.0,1,0.0,1,40.57878875732422,-74.0989761352539
2.0,3.0,1965.0,0.87,1380.0,2200.0,9.0,0.0,0,0.0,1,40.5582275390625,-74.12539672851562
1.0,3.0,1950.0,0.87,1198.0,4880.0,8.0,0.0,0,0.0,1,40.6097297668457,-74.13072967529297
1.0,2.0,1930.0,0.87,542.0,1840.0,3.0,0.0,0,0.0,0,40.57547378540039,-74.09635162353516
5.0,7.0,1990.0,0.95,3400.0,2613.6,6.0,0.0,1,0.0,0,40.8200569152832,-73.80738067626953
2.0,3.0,1980.0,0.87,2152.0,2070.0,8.0,0.0,2,0.0,0,40.5494499206543,-74.19271850585938
2.0,3.0,1945.0,0.84,1330.0,1742.4,4.0,0.0,1,0.0,1,40.76097869873047,-73.88227081298828
3.0,4.0,1970.0,0.87,1880.0,4275.0,7.0,0.0,1,0.0,0,40.54174423217773,-74.19790649414062
4.0,4.0,1920.0,0.95,1920.0,3049.2000000000003,7.0,0.0,1,1.0,1,40.906986236572266,-73.90348815917969
3.0,3.0,2000.0,0.87,2800.0,6000.0,9.0,0.0,1,0.0,1,40.57111358642578,-74.12510681152344
3.0,3.0,1998.0,0.87,1700.0,1477.0,9.0,65.0,1,0.0,0,40.51320266723633,-74.25006103515625
3.0,3.0,2004.0,0.87,1360.0,2630.0,7.0,0.0,0,0.0,1,40.58845520019531,-74.1897201538086
3.0,4.0,1955.0,0.87,2098.0,4600.0,7.0,0.0,1,0.0,1,40.61556243896485,-74.12583923339844
2.0,3.0,1981.0,0.87,1242.0,1400.0,7.0,376.0,0,0.0,0,40.58016586303711,-74.15652465820312
2.0,2.0,1995.0,0.87,993.0,1349.0,5.0,65.0,0,0.0,0,40.624019622802734,-74.15557098388672
4.0,4.0,1960.0,0.87,2072.0,5000.0,6.0,0.0,0,0.0,1,40.5894889831543,-74.09027099609375
1.0,3.0,1901.0,0.95,1450.0,6098.400000000001,5.0,0.0,1,0.0,1,40.84683609008789,-73.790771484375
3.0,4.0,1970.0,0.87,1860.0,4100.0,7.0,0.0,1,1.0,1,40.559207916259766,-74.14857482910156
1.0,3.0,1950.0,0.87,914.0,4953.0,9.0,0.0,0,0.0,1,40.56026077270508,-74.13291931152344
4.0,3.0,2018.0,0.87,1500.0,2400.0,9.0,0.0,0,1.0,1,40.55670547485352,-74.13085174560547
2.0,4.0,1955.0,0.87,1858.0,4000.0,7.0,0.0,0,1.0,1,40.54774475097656,-74.18925476074219
3.0,3.0,1975.0,0.87,1232.0,2400.0,9.0,0.0,0,0.0,1,40.555946350097656,-74.13168334960938
2.0,4.0,1945.0,0.87,1040.0,6100.0,5.0,0.0,0,0.0,0,40.61599349975586,-74.15193939208984
3.0,3.0,2000.0,0.87,2000.0,2300.0,6.0,0.0,0,0.0,1,40.595497131347656,-74.07232666015625
5.0,4.0,1994.0,0.87,2880.0,5000.0,9.0,0.0,1,1.0,1,40.50084686279297,-74.24932098388672
3.0,3.0,2004.0,0.87,1800.0,1710.0,4.0,25.0,0,0.0,1,40.60934066772461,-74.16160583496094
2.0,5.0,1920.0,0.65,2224.0,2178.0,8.0,0.0,0,0.0,1,40.5975456237793,-73.9841079711914
2.0,3.0,1899.0,0.87,1500.0,9400.0,4.0,0.0,1,0.0,0,40.6141242980957,-74.08770751953125
4.0,3.0,1891.0,0.87,2588.0,6000.0,7.0,0.0,1,1.0,1,40.5753288269043,-74.11714172363281
1.0,3.0,1960.0,0.87,1122.0,2300.0,6.0,0.0,0,0.0,1,40.590763092041016,-74.08393859863281
2.0,2.0,1950.0,0.87,1480.0,3100.0,7.0,0.0,0,0.0,1,40.61339569091797,-74.12591552734375
2.0,3.0,1925.0,0.84,1152.0,3920.3999999999996,2.0,0.0,0,0.0,1,40.5954475402832,-73.75996398925781
3.0,3.0,1963.0,0.87,1440.0,4278.0,6.0,0.0,1,0.0,1,40.600284576416016,-74.09783172607422
4.0,3.0,2013.0,0.87,1472.0,2500.0,7.0,225.0,0,0.0,1,40.52975082397461,-74.2180404663086
4.0,3.0,2006.0,0.87,1760.0,2918.0,6.0,0.0,2,0.0,1,40.599220275878906,-74.06600952148438
2.0,2.0,1945.0,0.87,1571.0,3400.0,6.0,0.0,0,1.0,0,40.59562683105469,-74.06748962402344
2.0,3.0,1920.0,0.87,1128.0,6999.0,2.0,0.0,0,0.0,1,40.62515640258789,-74.12821960449219
3.0,4.0,1940.0,0.87,2950.0,7500.0,9.0,0.0,2,1.0,1,40.57666397094727,-74.13815307617188
3.0,3.0,1975.0,0.87,1590.0,2760.0,4.0,0.0,0,0.0,1,40.59555435180664,-74.16606903076172
2.0,3.0,1968.0,0.87,2244.0,4000.0,7.0,0.0,1,0.0,0,40.564212799072266,-74.14991760253906
5.0,5.0,1998.0,0.87,2000.0,2675.0,2.0,50.0,0,0.0,1,40.630592346191406,-74.08540344238281
3.0,5.0,1925.0,0.87,1368.0,2600.0,2.0,0.0,2,0.0,1,40.62508392333984,-74.08222198486328
2.0,3.0,1950.0,0.95,1573.0,2613.6,3.0,0.0,1,0.0,0,40.8648796081543,-73.85319519042969
3.0,4.0,1970.0,0.87,1496.0,3000.0,5.0,0.0,1,0.0,0,40.58641815185547,-74.15499877929688
4.0,6.0,2000.0,0.95,2901.0,2178.0,4.0,0.0,0,0.0,0,40.8504753112793,-73.89579772949219
1.0,3.0,1975.0,0.87,1442.0,2400.0,9.0,0.0,0,0.0,1,40.55207824707031,-74.13899993896484
4.0,4.0,2006.0,0.87,3500.0,6480.0,7.0,0.0,1,1.0,1,40.542213439941406,-74.14787292480469
2.0,3.0,1970.0,0.87,1376.0,1280.0,8.0,63.0,1,0.0,1,40.55692672729492,-74.19601440429688
2.0,3.0,1940.0,0.95,1977.0,2613.6,3.0,0.0,1,0.0,1,40.87456512451172,-73.85050964355469
5.0,6.0,1915.0,0.95,2248.0,2613.6,9.0,0.0,1,0.0,1,40.89894485473633,-73.87205505371094
4.0,5.0,1950.0,0.95,,1742.4,4.0,0.0,0,0.0,0,40.88251876831055,-73.8459701538086
2.0,3.0,1998.0,0.87,850.0,2270.0,5.0,0.0,0,0.0,1,40.64009094238281,-74.16824340820312
2.0,3.0,1960.0,0.87,1152.0,3900.0,9.0,0.0,1,0.0,1,40.55741500854492,-74.12499237060547
2.0,3.0,1955.0,0.87,1040.0,4000.0,9.0,0.0,1,0.0,1,40.57083511352539,-74.12777709960938
3.0,9.0,1970.0,0.87,2100.0,4000.0,7.0,0.0,0,0.0,1,40.56495666503906,-74.10266876220703
2.0,3.0,1988.0,0.95,1152.0,1742.4,2.0,0.0,2,0.0,0,40.82999038696289,-73.89395904541016
4.0,7.0,1919.0,0.87,2970.0,2970.0,4.0,0.0,0,0.0,1,40.633338928222656,-74.11722564697266
3.0,4.0,1950.0,0.87,2360.0,7100.0,7.0,0.0,1,1.0,1,40.56642532348633,-74.15288543701172
3.0,3.0,1980.0,0.87,1452.0,2523.0,5.0,0.0,0,0.0,1,40.59113693237305,-74.15376281738281
4.0,3.0,2005.0,0.87,1500.0,3000.0,7.0,0.0,1,1.0,1,40.57943344116211,-74.11154174804688
4.0,4.0,1970.0,0.87,2100.0,4515.0,5.0,0.0,1,1.0,1,40.59071731567383,-74.16062927246094
2.0,3.0,1920.0,0.65,1376.0,2000.0,9.0,0.0,0,0.0,1,40.599910736083984,-73.98040771484375
2.0,3.0,1996.0,0.87,1320.0,2058.0,8.0,0.0,0,0.0,1,40.61238098144531,-74.10350799560547
1.0,3.0,1925.0,0.95,1300.0,3920.3999999999996,5.0,0.0,0,0.0,1,40.84971237182617,-73.78643035888672
1.0,2.0,1988.0,0.87,750.0,750.0,7.0,156.0,0,0.0,0,40.5854377746582,-74.16280364990234
2.0,3.0,1920.0,0.87,1304.0,4251.0,9.0,0.0,0,1.0,1,40.50913619995117,-74.24878692626953
2.0,4.0,1925.0,0.95,2025.0,4791.6,4.0,0.0,4,0.0,1,40.86821365356445,-73.83763122558594
2.0,3.0,2018.0,0.87,1400.0,1606.0,5.0,0.0,1,0.0,0,40.62722396850586,-74.15531921386719
3.0,4.0,2005.0,0.87,4158.0,7500.0,8.0,0.0,1,1.0,1,40.514610290527344,-74.19407653808594
4.0,4.0,1980.0,0.87,2464.0,3025.0,4.0,0.0,0,0.0,1,40.61204528808594,-74.16027069091797
3.0,2.0,1996.0,0.87,1354.0,516.6,7.0,152.0,1,1.0,0,40.56098175048828,-74.18693542480469
2.0,2.0,1920.0,0.87,928.0,4860.0,9.0,0.0,0,0.0,1,40.56023788452149,-74.11469268798828
2.0,3.0,1975.0,0.87,1400.0,2728.0,4.0,0.0,0,0.0,1,40.59511566162109,-74.1664047241211
2.0,3.0,1960.0,0.87,1400.0,6500.0,4.0,0.0,2,1.0,1,40.62422561645508,-74.1061019897461
3.0,3.0,2003.0,0.87,1350.0,1350.0,8.0,60.0,1,0.0,1,40.523223876953125,-74.2142105102539
2.0,2.0,1988.0,0.87,1008.0,1050.0,8.0,70.0,0,0.0,1,40.54787826538086,-74.19622039794922
2.0,5.0,1960.0,0.87,1890.0,3440.0,6.0,0.0,0,0.0,1,40.585716247558594,-74.09729766845703
2.0,3.0,1920.0,0.87,1304.0,4251.0,9.0,0.0,0,1.0,1,40.50913619995117,-74.24878692626953
3.0,4.0,1979.0,0.87,2310.0,2600.0,8.0,0.0,1,0.0,1,40.59404754638672,-74.14205169677734
4.0,5.0,2015.0,0.87,2350.0,3850.0,7.0,0.0,1,0.0,1,40.516510009765625,-74.23725891113281
1.0,3.0,1920.0,0.95,1860.0,3484.8,4.0,0.0,0,0.0,1,40.810882568359375,-73.85066223144531
1.0,5.0,1940.0,0.87,1456.0,4000.0,5.0,0.0,1,0.0,1,40.61948776245117,-74.14353942871094
4.0,7.0,1971.0,0.87,2296.0,4040.0,7.0,0.0,1,0.0,0,40.5577392578125,-74.14535522460938
4.0,3.0,1940.0,0.65,1224.0,1800.0,2.0,0.0,1,0.0,1,40.70594024658203,-73.91793060302734
3.0,9.0,2007.0,0.95,3240.0,1742.4,5.0,0.0,0,0.0,1,40.85666275024414,-73.89224243164062
2.0,3.0,1983.0,0.87,1108.0,1296.0,6.0,209.0,0,0.0,1,40.54904174804688,-74.2141342163086
5.0,5.0,2000.0,0.87,2400.0,4000.0,7.0,0.0,1,0.0,1,40.53053283691406,-74.21846008300781
4.0,3.0,1980.0,0.87,1700.0,3240.0,8.0,200.0,0,0.0,1,40.55099487304688,-74.19463348388672
2.0,3.0,1950.0,0.87,1011.0,3800.0,5.0,0.0,0,0.0,1,40.543418884277344,-74.15776824951172
3.0,3.0,1974.0,0.87,1900.0,2610.0,8.0,261.0,1,0.0,1,40.548099517822266,-74.19852447509766
2.0,3.0,2018.0,0.87,1440.0,1900.0,3.0,0.0,0,0.0,0,40.5722885131836,-74.09188079833984
4.0,3.0,1996.0,0.87,1400.0,2838.0,8.0,0.0,0,0.0,1,40.6022834777832,-74.12800598144531
2.0,3.0,1945.0,0.87,1120.0,5400.0,7.0,0.0,0,0.0,1,40.57586669921875,-74.109130859375
3.0,3.0,1980.0,0.87,1664.0,2716.0,5.0,0.0,0,0.0,1,40.58543395996094,-74.1474609375
5.0,7.0,1988.0,0.95,3432.0,2178.0,3.0,0.0,1,0.0,1,40.84901428222656,-73.86529541015625
4.0,3.0,2019.0,0.87,1650.0,2550.0,5.0,0.0,0,0.0,1,40.58351135253906,-74.14990997314453
3.0,4.0,1950.0,0.84,1500.0,3920.3999999999996,9.0,0.0,1,0.0,1,40.724422454833984,-73.7981185913086
4.0,6.0,2019.0,0.87,2650.0,4000.0,8.0,0.0,1,0.0,1,40.54808044433594,-74.1913070678711
1.0,2.0,1915.0,0.87,1972.0,5000.0,5.0,0.0,1,0.0,1,40.63534164428711,-74.15634155273438
4.0,4.0,1999.0,0.87,1482.0,3535.0,9.0,0.0,0,0.0,1,40.56195831298828,-74.11748504638672
2.0,2.0,1989.0,0.87,1192.0,840.0,7.0,35.0,1,0.0,0,40.59292602539063,-74.18540954589844
4.0,4.0,2001.0,0.87,1575.0,2125.0,5.0,0.0,0,0.0,1,40.58834457397461,-74.14776611328125
3.0,3.0,1975.0,0.87,1408.0,2738.0,6.0,0.0,0,0.0,1,40.57984161376953,-74.08751678466797
4.0,3.0,2013.0,0.87,1504.0,2500.0,7.0,0.0,0,0.0,1,40.56239318847656,-74.18214416503906
4.0,6.0,2005.0,0.87,2430.0,5200.0,3.0,0.0,1,0.0,1,40.59626388549805,-74.0774917602539
2.0,3.0,1965.0,0.87,1296.0,2700.0,5.0,0.0,0,0.0,1,40.63930892944336,-74.16792297363281
4.0,4.0,1965.0,0.87,2394.0,3780.0,4.0,0.0,1,0.0,1,40.62263107299805,-74.107177734375
3.0,4.0,1970.0,0.87,1458.0,8840.0,7.0,0.0,2,0.0,1,40.59208679199219,-74.10897064208984
4.0,4.0,1997.0,0.87,2144.0,1680.0,7.0,45.0,1,0.0,0,40.58060836791992,-74.15694427490234
2.0,9.0,1935.0,0.87,2520.0,2500.0,6.0,0.0,0,0.0,1,40.6350212097168,-74.14408874511719
4.0,4.0,2000.0,0.87,3030.0,4911.0,8.0,0.0,1,1.0,1,40.51964569091797,-74.21145629882812
3.0,3.0,1997.0,0.87,1425.0,1278.0,9.0,60.0,0,0.0,1,40.55809783935547,-74.1128158569336
4.0,9.0,2008.0,0.95,3006.0,2178.0,4.0,0.0,0,0.0,0,40.83465576171875,-73.85913848876953
2.0,3.0,1955.0,0.95,1300.0,8276.4,5.0,0.0,4,0.0,1,40.847259521484375,-73.78548431396484
3.0,3.0,1960.0,0.87,1150.0,4000.0,6.0,0.0,1,0.0,1,40.581424713134766,-74.10054016113281
2.0,3.0,1975.0,0.87,1680.0,2124.0,8.0,200.0,0,0.0,1,40.550926208496094,-74.19984436035156
3.0,3.0,1970.0,0.87,1176.0,3224.0,2.0,0.0,0,0.0,1,40.62889862060547,-74.13137817382812
2.0,3.0,1910.0,0.87,1434.0,3960.0,2.0,0.0,1,0.0,1,40.64168930053711,-74.0886001586914
2.0,4.0,1960.0,0.95,2256.0,4356.0,7.0,0.0,4,0.0,1,40.889427185058594,-73.81690216064453
3.0,3.0,2000.0,0.87,1500.0,3114.0,8.0,0.0,0,1.0,1,40.5525016784668,-74.21002197265625
3.0,2.0,1996.0,0.87,1354.0,500.0,7.0,150.0,1,0.0,0,40.55998992919922,-74.18693542480469
4.0,7.0,1980.0,0.87,2584.0,4000.0,6.0,0.0,1,0.0,0,40.55022811889648,-74.21736145019531
2.0,3.0,1950.0,0.95,1260.0,1742.4,4.0,0.0,1,0.0,1,40.87370300292969,-73.8453369140625
2.0,3.0,2019.0,0.87,1800.0,3000.0,3.0,0.0,2,0.0,1,40.572975158691406,-74.10205841064453
1.0,4.0,1953.0,0.87,1580.0,5760.0,4.0,0.0,1,1.0,1,40.614627838134766,-74.1610107421875
4.0,3.0,2017.0,0.87,1927.0,4243.0,8.0,45.0,0,1.0,1,40.52451705932617,-74.19937896728516
3.0,4.0,1934.0,0.84,1716.0,3920.3999999999996,3.0,0.0,1,1.0,1,40.76287460327149,-73.87940216064453
4.0,6.0,2005.0,0.84,,2178.0,6.0,0.0,0,0.0,0,40.60816192626953,-73.75505065917969
2.0,3.0,1975.0,0.87,1298.0,3402.0,7.0,0.0,0,0.0,1,40.53694534301758,-74.14752197265625
4.0,3.0,2019.0,0.87,2520.0,2800.0,8.0,0.0,0,0.0,1,40.60979080200195,-74.13140869140625
7.0,9.0,2018.0,0.87,2419.0,4032.0,5.0,0.0,0,0.0,1,40.63744735717773,-74.16475677490234
4.0,3.0,1995.0,0.87,2058.0,1900.0,8.0,250.0,1,1.0,0,40.514137268066406,-74.20099639892578
3.0,3.0,2005.0,0.87,2500.0,3062.0,9.0,0.0,1,0.0,0,40.55705261230469,-74.13663482666016
6.0,6.0,2017.0,0.87,3410.0,6000.0,9.0,0.0,1,1.0,1,40.55818557739258,-74.13225555419922
2.0,3.0,1935.0,0.87,1182.0,2800.0,2.0,0.0,1,0.0,1,40.62781524658203,-74.12501525878906
2.0,3.0,1950.0,0.84,1326.0,3920.3999999999996,7.0,0.0,0,0.0,0,40.7452392578125,-73.74588775634766
1.0,3.0,1950.0,0.87,1170.0,4000.0,7.0,0.0,1,0.0,1,40.61577606201172,-74.13748168945312
3.0,3.0,1984.0,0.87,2100.0,2580.0,5.0,0.0,1,0.0,1,40.59175109863281,-74.1543197631836
3.0,5.0,2016.0,0.87,2596.0,4395.0,8.0,0.0,1,1.0,1,40.5173225402832,-74.19417572021484
4.0,6.0,2002.0,0.95,2033.0,3920.3999999999996,4.0,0.0,3,0.0,1,40.81118774414063,-73.85173797607422
3.0,3.0,1950.0,0.87,1536.0,3800.0,7.0,0.0,0,0.0,1,40.62178421020508,-74.1403579711914
2.0,3.0,1950.0,0.84,1165.0,4791.6,5.0,0.0,1,1.0,0,40.75875473022461,-73.73744201660156
3.0,2.0,1989.0,0.87,1422.0,1160.0,5.0,51.0,1,0.0,0,40.63618850708008,-74.15377807617188
3.0,3.0,1940.0,0.84,1388.0,1742.4,8.0,0.0,0,0.0,1,40.7180061340332,-73.85620880126953
2.0,3.0,1920.0,0.95,1185.0,2178.0,8.0,0.0,0,0.0,1,40.83660507202149,-73.8219223022461
2.0,3.0,1955.0,0.87,2040.0,8300.0,9.0,0.0,1,0.0,1,40.55348587036133,-74.14539337158203
2.0,2.0,1989.0,0.87,1260.0,498.0,2.0,45.0,0,0.0,0,40.62577438354492,-74.13060760498047
3.0,5.0,1960.0,0.87,3320.0,5529.0,7.0,0.0,0,1.0,1,40.57436752319336,-74.11493682861328
2.0,3.0,1970.0,0.87,,1360.0,8.0,61.0,1,0.0,0,40.55573272705078,-74.196533203125
3.0,3.0,2019.0,0.87,,1633.0,6.0,0.0,2,0.0,1,40.54184341430664,-74.16680908203125
1.0,2.0,1986.0,0.87,1314.0,792.0,7.0,215.0,1,0.0,0,40.50221252441406,-74.23809051513672
3.0,3.0,2005.0,0.87,1660.0,2052.0,7.0,70.0,1,0.0,1,40.5411262512207,-74.14485168457031
1.0,3.0,1935.0,0.87,1200.0,3726.0,7.0,0.0,0,0.0,1,40.54898452758789,-74.14933776855469
2.0,3.0,1986.0,0.87,1188.0,2280.0,3.0,0.0,0,0.0,0,40.59629440307617,-74.08309936523438
3.0,6.0,1925.0,0.87,1788.0,3960.0,7.0,0.0,1,0.0,1,40.60699844360352,-74.12633514404297
1.0,2.0,1945.0,0.84,1387.0,3920.3999999999996,7.0,0.0,1,0.0,0,40.745975494384766,-73.78639221191406
2.0,3.0,1992.0,0.87,1392.0,1560.0,7.0,0.0,0,0.0,0,40.54166030883789,-74.14451599121094
1.0,3.0,1960.0,0.87,1040.0,3400.0,8.0,0.0,0,0.0,1,40.528358459472656,-74.20732116699219
2.0,3.0,1945.0,0.95,1224.0,1306.8,5.0,0.0,0,0.0,1,40.87670135498047,-73.86833190917969
4.0,3.0,2019.0,0.87,2100.0,3150.0,9.0,0.0,2,1.0,1,40.56907272338867,-74.14286041259766
3.0,3.0,1970.0,0.87,1794.0,5363.0,6.0,0.0,2,0.0,0,40.603309631347656,-74.10017395019531
2.0,3.0,1970.0,0.87,1584.0,2860.0,6.0,0.0,0,0.0,1,40.56230926513672,-74.17511749267578
1.0,4.0,1930.0,0.87,1580.0,7050.0,4.0,0.0,0,1.0,1,40.62971496582031,-74.10535430908203
4.0,4.0,1996.0,0.87,1553.0,560.0,7.0,187.0,1,0.0,0,40.56122589111328,-74.18712615966797
3.0,4.0,1960.0,0.95,2016.0,1742.4,6.0,0.0,2,0.0,1,40.90640258789063,-73.85137176513672
2.0,3.0,1920.0,0.87,1548.0,6300.0,9.0,0.0,0,1.0,1,40.5496711730957,-74.14398956298828
4.0,3.0,1997.0,0.87,1656.0,2500.0,7.0,0.0,0,0.0,1,40.59238052368164,-74.09422302246094
3.0,3.0,2005.0,0.87,1200.0,2000.0,3.0,0.0,0,0.0,1,40.57251739501953,-74.10028076171875
3.0,2.0,1995.0,0.87,1223.0,925.0,7.0,135.0,0,0.0,1,40.50400161743164,-74.23914337158203
2.0,3.0,1981.0,0.87,1560.0,780.0,4.0,208.0,0,0.0,0,40.61022567749024,-74.15612030029297
3.0,3.0,1960.0,0.87,1976.0,4700.0,7.0,0.0,0,1.0,1,40.59537887573242,-74.10176849365234
2.0,2.0,1955.0,0.84,,3049.2000000000003,3.0,0.0,1,0.0,1,40.70078659057617,-73.77984619140625
2.0,4.0,1980.0,0.87,1880.0,2231.0,7.0,0.0,1,0.0,1,40.56278991699219,-74.14688873291016
3.0,4.0,1992.0,0.87,1200.0,3840.0,5.0,0.0,0,0.0,1,40.6165657043457,-74.14933013916016
4.0,3.0,2000.0,0.87,1560.0,2500.0,7.0,52.0,1,1.0,1,40.53139114379883,-74.21931457519531
2.0,3.0,1935.0,0.87,1615.0,2704.0,5.0,0.0,0,1.0,1,40.62738037109375,-74.14463806152344
2.0,2.0,1990.0,0.87,1780.0,899.0,7.0,100.0,1,0.0,1,40.50458526611328,-74.23907470703125
1.0,4.0,1950.0,0.87,1040.0,5000.0,7.0,0.0,1,0.0,1,40.56864547729492,-74.11827850341797
4.0,3.0,1940.0,0.84,,2178.0,8.0,0.0,0,0.0,1,40.717960357666016,-73.85489654541016
2.0,3.0,1955.0,0.87,1100.0,4000.0,9.0,0.0,1,0.0,1,40.567832946777344,-74.13558197021484
2.0,3.0,1940.0,0.87,961.0,3520.0,7.0,0.0,0,1.0,1,40.565826416015625,-74.10321807861328
3.0,3.0,1920.0,0.84,1616.0,2613.6,8.0,0.0,1,0.0,1,40.71371078491211,-73.8552474975586
